"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000000001",680.127146807492,-0.0324152674508359,0.0509176890144778,-0.636620948009227,0.524371776890256,0.925343385983311,"Gnai3"
"ENSMUSG00000000028",23.5565257058404,-0.0247420339830095,0.16556200699482,-0.149442703867341,0.881204317225872,0.985489921174808,"Cdc45"
"ENSMUSG00000000031",1.96823102858015,0.117391388929857,1.14458864488871,0.10256207717426,0.918310542095435,NA,"H19"
"ENSMUSG00000000037",19.5133683906839,0.270719911463355,0.256521835402891,1.05534841132789,0.291266007717463,0.860218519975255,"Scml2"
"ENSMUSG00000000049",4.69266374540867,-0.303084437917818,0.442105842774534,-0.685547234607314,0.492998664933577,0.917492582366777,"Apoh"
"ENSMUSG00000000056",837.787035377286,-0.0086153862614255,0.0572103156452804,-0.15059148274663,0.880297980551241,0.985489921174808,"Narf"
"ENSMUSG00000000058",431.179745784369,0.161122937428559,0.0956946840992181,1.68371878694436,0.0922360288147955,0.764161997423751,"Cav2"
"ENSMUSG00000000078",511.887791796838,0.0464726180296458,0.0770469355426262,0.60317282838504,0.546393721520213,0.933809994556559,"Klf6"
"ENSMUSG00000000085",574.252799211122,-0.0605067320935233,0.0676938485468012,-0.893829105486461,0.371413333946643,0.884481985956656,"Scmh1"
"ENSMUSG00000000088",1796.53652302491,0.0972229346148164,0.0783540775086315,1.24081525437022,0.214674004694815,0.830838486134427,"Cox5a"
"ENSMUSG00000000093",16.6979191322151,-0.0464805414408852,0.202595237276329,-0.229425637373144,0.818538111770193,0.979755780145565,"Tbx2"
"ENSMUSG00000000094",2.50839768819233,-0.334028649668967,0.547521446800892,-0.610074092294759,0.541812727763751,NA,"Tbx4"
"ENSMUSG00000000120",35.2684138202385,-0.576786478097696,0.382170572081661,-1.50923833553163,0.131237886765051,0.786866539840061,"Ngfr"
"ENSMUSG00000000125",38.4692516955513,0.0819806870642642,0.17142713819747,0.478224672745976,0.632490303566934,0.952038272210749,"Wnt3"
"ENSMUSG00000000126",78.2806223984561,0.0436685909809456,0.206995062720671,0.210964408556324,0.832915044156214,0.980671352507475,"Wnt9a"
"ENSMUSG00000000127",312.391990778675,-0.0584337365518126,0.0673408995324875,-0.867730264333969,0.385542013883697,0.890782992366664,"Fer"
"ENSMUSG00000000131",1448.97973550504,-0.0511216314256085,0.0439747958759243,-1.1625211762176,0.245023828041584,0.845920667470488,"Xpo6"
"ENSMUSG00000000134",575.170392735588,0.0106921686858554,0.0550391182116848,0.194264898008221,0.845968469350493,0.982133277780006,"Tfe3"
